name,season,competition,nation,position,team,age,year_born,matches,starts,minutes,full_games,goals_against,goals_against_per90,shots_ontarget_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,PK_att_against,PK_conceded,PK_saved,PK_save_percentage
Alisson,24/25,Premier League,BRA,GK,Liverpool,31,1992,28,28,"2,508",27.9,29,1.04,100,73,72.0,18,7,3,9,32.1,1,1,0,0.0
Alphonse Areola,24/25,Premier League,FRA,GK,West Ham,31,1993,26,25,"2,260",25.1,41,1.63,115,77,64.3,5,7,13,5,20.0,0,0,0,
Kepa Arrizabalaga,24/25,Premier League,ESP,GK,Bournemouth,29,1994,31,31,"2,790",31.0,39,1.26,134,95,73.9,13,7,11,8,25.8,4,4,0,0.0
Brandon Austin,24/25,Premier League,ENG,GK,Tottenham,25,1999,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,
Altay Bayındır,24/25,Premier League,TUR,GK,Manchester Utd,26,1998,4,4,360,4.0,10,2.50,17,8,41.2,1,0,3,1,25.0,0,0,0,
Daniel Bentley,24/25,Premier League,ENG,GK,Wolves,31,1993,2,2,180,2.0,4,2.00,12,8,66.7,1,0,1,1,50.0,0,0,0,
Martin Dúbravka,24/25,Premier League,SVK,GK,Newcastle Utd,35,1989,10,10,900,10.0,12,1.20,41,29,70.7,7,0,3,5,50.0,0,0,0,
Ederson,24/25,Premier League,BRA,GK,Manchester City,30,1993,26,26,"2,320",25.8,26,1.01,78,53,69.2,16,4,6,10,38.5,2,2,0,0.0
Łukasz Fabiański,24/25,Premier League,POL,GK,West Ham,39,1985,14,13,"1,160",12.9,21,1.63,71,50,74.6,6,3,4,2,15.4,3,3,0,0.0
Mark Flekken,24/25,Premier League,NED,GK,Brentford,31,1993,37,37,"3,275",36.4,55,1.51,203,150,73.4,16,8,13,7,18.9,1,1,0,0.0
Fraser Forster,24/25,Premier League,ENG,GK,Tottenham,36,1988,7,7,630,7.0,15,2.14,42,27,69.0,1,2,4,1,14.3,2,2,0,0.0
Dean Henderson,24/25,Premier League,ENG,GK,Crystal Palace,27,1997,38,38,"3,420",38.0,51,1.34,150,101,66.7,13,14,11,11,28.9,2,1,1,50.0
Mads Hermansen,24/25,Premier League,DEN,GK,Leicester City,24,2000,27,27,"2,385",26.5,58,2.19,155,99,64.5,3,6,18,1,3.7,4,3,1,25.0
